text_id,register,language,origin,chars,text
h_common_voice_a9b8c809e9da,read,en,common_voice,88,Throughout her career she has held different positions at the national level and abroad.
h_common_voice_cc2b644a72e7,read,en,common_voice,40,Couldn't this have waited until morning?
h_common_voice_ad47933e124f,read,en,common_voice,63,"It is a one way street in the Pergolese street, Marbeau street."
h_common_voice_4f490a5dbf19,read,en,common_voice,41,Did you really need to clog up that pipe?
h_common_voice_f6fba4331586,read,en,common_voice,71,Ammonium nitrite solution is stable at higher pH and lower temperature.
h_common_voice_b15a8cd7fa02,read,en,common_voice,72,The bare skin around the eye can vary from yellow to purplish in colour.
h_common_voice_f3d5e9e8b372,read,en,common_voice,43,"But there was a sixth day, the sun went on."
h_common_voice_92f79d8ae82f,read,en,common_voice,57,Pindari river later joins Alaknanda river at Karnaprayag.
h_common_voice_6131b2d609f8,read,en,common_voice,47,A handful of people are waiting for the subway.
h_common_voice_ceff289ff447,read,en,common_voice,63,He made the world championship all-star team on five occasions.
h_common_voice_28b2483b027b,read,en,common_voice,82,"Currently, the stereotype of non-humorous people has been around for many decades."
h_common_voice_5372196a8500,read,en,common_voice,67,Hashemian gained B and A coaching licences when playing in Germany.
h_common_voice_f29ce56ab1f7,read,en,common_voice,90,Wall alleged that her new husband raped her repeatedly and that she repeatedly miscarried.
h_common_voice_db979862a140,read,en,common_voice,55,"Every generation has ""fought for freedom and equality""."
h_common_voice_421af521c199,read,en,common_voice,85,One of Jackson's main arguments against the bill was the project's provincial nature.
h_common_voice_d906e8849e0d,read,en,common_voice,94,It begins abruptly again south of Teston Road before finally terminating at King-Vaughan Road.
h_common_voice_8fb7c52c2cd1,read,en,common_voice,88,"The episode ""Father's Day"" depicts two younger versions of Jackie also played by Coduri."
h_common_voice_9f73572d8f73,read,en,common_voice,70,"Many smaller streams, still of considerable size, are not listed here."
h_common_voice_168afee212c7,read,en,common_voice,43,He was the producer of most of these films.
h_common_voice_f97d14808300,read,en,common_voice,77,It is also used to emulate sounds generated by obsolete electronic equipment.
h_common_voice_359b3dfcb5bd,read,en,common_voice,61,Phil Anselmo has credited numerous inspirations for the song.
h_common_voice_39754f9f8d3f,read,en,common_voice,41,Warriors possess no additional abilities.
h_common_voice_2e44297ab819,read,en,common_voice,54,This airport is owned by the Commonwealth of Kentucky.
h_common_voice_7c0d6cd53986,read,en,common_voice,57,Some games feature cheat codes related to the sound test.
h_common_voice_7ea68c47f10f,read,en,common_voice,77,Sometimes this sand will accumulate to build shallow moats around the bottom.
h_common_voice_c32309b98d5a,read,en,common_voice,62,"As seen above, the strength of a base depends primarily on pH."
h_common_voice_67875590844c,read,en,common_voice,80,"Today, ""Closer"" is widely recognised as a defining release of the post-punk era."
h_common_voice_34d8eca80931,read,en,common_voice,58,You've forgotten more about law than Colin will ever know.
h_common_voice_a556b42c2967,read,en,common_voice,58,Bittner is currently endorsed by Pearl Drums and hardware.
h_common_voice_f2a2580801b5,read,en,common_voice,71,"Everhard's adult film career began in Canada, performing for web sites."
h_common_voice_61db5b49cb30,read,en,common_voice,42,"Three for a dime, the young peddler cried."
h_common_voice_f1f090d499a3,read,en,common_voice,44,"Phil, will you take a stance on this matter?"
h_common_voice_1d1c4dd4c9a0,read,en,common_voice,80,An uncredited Jim Hutton appears briefly as the principal of a competing school.
h_common_voice_a42b999a9bc0,read,en,common_voice,82,"Along the way, it collects the tributary streams of Robinson Creek and Lost River."
h_common_voice_0a4eab32fece,read,en,common_voice,86,The enlightenment and passing of the Buddha also occurred during the Taurus full moon.
