request_id,provider,voice,mode,language,text_id,register,speed,instructions,text,est_chars
openai_87e378a829ddbb2c,openai,alloy,neutral,en,h_peoples_speech_6517f5ce980b,procedural,,,it complies in every aspect with rule three hundred and three,61
openai_1014fc29f1a957f2,openai,ash,neutral,en,h_common_voice_0e98529b6e74,read,,,Live Oak is an agricultural community located in the fertile Sacramento Valley.,79
openai_5b5a6747a5f70e2d,openai,ballad,neutral,en,cur_num_003,numbers,,,"Please call us back at 555-0192, extension 4406, between 9 and 5 Eastern.",73
openai_6ff6a7d1d5278866,openai,coral,neutral,en,h_peoples_speech_19cabb543ba4,procedural,,,the impact is that historic properties and archives of documents and objects are key to our community's identities,114
openai_bb0feb2b4917586d,openai,echo,anchor,en,h_peoples_speech_b5dae021e6f3,procedural,,"Deliver this as a composed, professional news anchor.",in the last two weeks alone there were forty three reported cases,65
openai_9e953266649df07f,openai,fable,neutral,en,h_emilia_f4594ebdf554,conversational,,,"The 23rd of June, single-celled yeast has been observed to evolve into a multicellular organism, complete with division of labor between cells",142
openai_2f1c6122f3747b99,openai,nova,neutral,en,cur_que_008,question,,,How long has that light on the dashboard been blinking like that?,65
openai_f049bb388005ff52,openai,onyx,neutral,en,h_common_voice_c2dbac123118,read,,,Many hospitals around the country reported shortages of beds and supplemental oxygen.,85
openai_c785d6d433ae1506,openai,sage,neutral,en,cur_lng_003,longform,,,"Alright team, quick recap of where we landed today. First, the migration to the new billing system slips two weeks; Dana's group found an edge case with annual subscriptions that refund mid-cycle, and we are not shipping until that's fixed. Second, customer support headcount: approved, two new hires starting next month, both remote. Third, the office move. I know everyone has opinions about the fourth floor. The lease isn't signed yet, so if you have genuine accessibility concerns, get them to me in writing by Friday. And finally, the holiday party is December twelfth. Yes, there will be a karaoke machine again. No, Kevin, you cannot do forty-five minutes of Bon Jovi.",676
openai_edf3626bd212138c,openai,shimmer,excited,en,cur_emo_027,emotional,,"Speak with excited, fast-paced energy, like sharing thrilling news.",The test came back negative. Negative! We can finally breathe again.,68
openai_fab331b884f3a7a5,openai,verse,support,en,h_peoples_speech_31c45b9bdc8b,procedural,,"Sound like a cheerful, friendly customer support agent.",so we didn't have you had they they produced these records basically alongside of their summary judgment motion,111
openai_63e32949de8b3f6c,openai,marin,tired,en,cur_dis_001,disfluent,,"Sound exhausted and flat, with low energy and frequent small pauses.","So, um, I was thinking—well, actually, never mind, it's—okay no, hear me out.",77
openai_56a1b47821f67ce8,openai,cedar,neutral,en,h_voxpopuli_8fd2eefd0ff4,formal,,,thirdly the attractiveness of eu assistance is also important.,62
openai_ab861a3ecc1acee8,openai,alloy,whisper,en,cur_whi_010,whisper,,"Whisper very softly, as if telling a secret late at night.","This museum gives me chills. Beautiful, but something feels off.",64
openai_b02a0ad76e9a73dd,openai,ash,tired,en,cur_dis_002,disfluent,,"Sound exhausted and flat, with low energy and frequent small pauses.","The thing is, like, we never actually—I mean, did anyone even read the contract?",80
