text_id,register,language,text
cur_emo_001,emotional,en,"I trusted you with everything I had, and you threw it away like it was nothing."
cur_emo_002,emotional,en,We won! We actually won! I can't believe this is happening right now!
cur_emo_003,emotional,en,Please don't go. Not tonight. Not like this.
cur_emo_004,emotional,en,There's something behind that door. I heard it again. I'm not imagining it.
cur_emo_005,emotional,en,How dare you stand there and lie to my face after everything we've been through.
cur_emo_006,emotional,en,"She's gone. I keep picking up the phone to call her, and then I remember."
cur_emo_007,emotional,en,This is the best day of my entire life and nobody can ruin it for me.
cur_emo_008,emotional,en,Get out. Get out right now and don't you ever come back here again.
cur_emo_009,emotional,en,"I'm so proud of you I could burst. You did it, kid. You really did it."
cur_emo_010,emotional,en,Something's wrong. The lights are off and the front door is wide open.
cur_emo_011,emotional,en,You had one job. One. And now the whole project is ruined.
cur_emo_012,emotional,en,"Honestly, I never thought I'd see the day. I'm completely speechless."
cur_emo_013,emotional,en,"Stop the car. Stop the car right now, I mean it!"
cur_emo_014,emotional,en,Every single morning I wake up and for two seconds I forget what happened.
cur_emo_015,emotional,en,"Ugh, this is disgusting. Who leaves week-old takeout in the office fridge?"
cur_emo_016,emotional,en,"They picked me. Out of four hundred applicants, they actually picked me."
cur_emo_017,emotional,en,"If you touch my sister again, I swear you will regret it for the rest of your life."
cur_emo_018,emotional,en,"I can't feel my hands. Why can't I feel my hands? Call someone, please."
cur_emo_019,emotional,en,Fifteen years of friendship and you sold me out for a promotion.
cur_emo_020,emotional,en,"Look at the little guy! He's wagging his tail! Oh, he likes me!"
cur_emo_027,emotional,en,The test came back negative. Negative! We can finally breathe again.
cur_emo_028,emotional,en,Don't you walk away from me while I'm talking to you.
cur_emo_029,emotional,en,I found the letters. All of them. In the bottom drawer of your desk.
cur_emo_030,emotional,en,"Three years of saving, and the engine gives out two days after the warranty ends."
cur_whi_001,whisper,en,Don't make a sound. They're right outside the door.
cur_whi_002,whisper,en,"The surprise party is at seven. Whatever you do, don't tell Maria."
cur_whi_003,whisper,en,"Shh, the baby finally fell asleep. Let's order takeout and watch a movie."
cur_whi_004,whisper,en,"I shouldn't be telling you this, but the merger is happening on Friday."
cur_whi_005,whisper,en,Look to your left. Slowly. Is that who I think it is?
cur_whi_006,whisper,en,The library closes in ten minutes. We need to find that reference now.
cur_whi_007,whisper,en,He keeps the spare key under the blue flowerpot. Don't ask how I know.
cur_whi_008,whisper,en,"If we're quiet, we can sneak past the kitchen without waking the dog."
cur_whi_009,whisper,en,I saw the exam questions on his desk. Number three is about photosynthesis.
cur_whi_010,whisper,en,"This museum gives me chills. Beautiful, but something feels off."
cur_whi_014,whisper,en,"Between you and me, the numbers don't add up. Someone's been cooking the books."
cur_whi_015,whisper,en,Keep your voice down. The walls in this hotel are paper thin.
cur_sho_001,shout,en,Watch out! The ladder is slipping! Grab the other side!
