request_id,provider,voice,mode,language,text_id,register,speed,instructions,text,est_chars
grok_381207d37d4278f5,grok,eve,neutral,en,h_common_voice_13ec72e1fe92,read,,,"Surrounding the ship are several permanent exhibitions, cinemas, a shop and a restaurant.",89
grok_4adafc0728695d18,grok,ara,neutral,en,h_emilia_1809034fc298,conversational,,,"The software was originally created by the Smallworld Company founded in Cambridge, England, in 1989 by Dick Newell and others",126
grok_43eff4d2e8224cae,grok,rex,neutral,en,h_voxpopuli_6c009eb25831,formal,,,this modernday form of slavery is on the rise and the eu has given the perpetrators a helping hand by not allowing member states to control their own borders and check criminal backgrounds the eu is enabling this crime to escalate.,231
grok_79a78d139a3bf5dc,grok,sal,neutral,en,h_voxpopuli_d1f2c59b3aa7,formal,,,when we look at the labour market one third of jobs will be deeply influenced by this transformation;,101
grok_fabe7591e99d1937,grok,leo,neutral,en,h_voxpopuli_675e0a91e0d8,formal,,,nothing prevents member states to provide their patients who receive cross border healthcare more advantages form of reimbursement even in advance however it depends on the member states national nevertheless,208
grok_db140919f5a7f83a,grok,eve,neutral,en,h_common_voice_5f21aafad877,read,,,"Teaching units at this University were originally called ""department"".",70
grok_6c660def14f7facb,grok,ara,neutral,en,h_peoples_speech_38615f1ec8b3,procedural,,,he expected until the moment the judge ruled craig anticipated that we were still in opening statements,103
grok_ab64888020ece9fb,grok,rex,neutral,en,h_emilia_eac26660db9d,conversational,,,"I don't know what's going on with school anymore. Uhm, so much is going on. So just really acknowledging.",105
grok_a0c1718cb6a316c5,grok,sal,neutral,en,h_common_voice_769fc6cbad90,read,,,He graduated as one of the top students in his class.,53
grok_4bf0b9025756e992,grok,leo,neutral,en,h_peoples_speech_1db4751e097a,procedural,,,it's a huge chunk above you know what ours is in the eleven million,67
grok_c5ecb4abb7d650ce,grok,eve,whisper,en,h_common_voice_128d0997f92d,read,,,<whisper>You won't be safe until the money's in our hands.</whisper>,68
grok_74518d4955904e94,grok,ara,neutral,en,h_peoples_speech_7f864fe0afb6,procedural,,,with respect to regulation of greenhouse gases advocacy disagrees with epa on whether the impacts on small businesses were properly considered,142
grok_db3a605762f73465,grok,rex,neutral,en,h_voxpopuli_57b85dfce51a,formal,,,commercial practices the commission will also address the issue of commercial practices whereby travel services providers who market their services online offer additional services in an unclear or ambiguous manner such as hiding the option of not booking any further services and the commission,295
grok_f00e0623c512047f,grok,sal,slow,en,h_common_voice_ba40e3aae44a,read,0.8,,Formal rose gardens line the eastern and southern sides.,56
grok_a98a5e204d125c3e,grok,leo,neutral,en,h_emilia_d11ac5352e33,conversational,,,"The people who enjoys majority support of the MPTCs, means if there are 50 MPTCs, anyone who gets a support of 26 MPTCs will be called as a chairman.",149
grok_7f0fd48c4ccb463b,grok,eve,neutral,en,h_voxpopuli_7d2bc681563b,formal,,,not later the and three months after the final report and the draft criteria the commission shall cons the european union equal labor board on draft proposal on this issue as i told,181
grok_03448cd0a27f9bca,grok,ara,tags_native,en,cur_tag_008,grok_tags,,,"[cough] Sorry, excuse me. [pause] As I was saying, the quarterly numbers look, [um], optimistic.",96
grok_292dfc17a203017a,grok,rex,neutral,en,h_voxpopuli_31ffdc9912fa,formal,,,this sort of industrial farming is only sustained by ever more use of antibiotics unnatural for the animal victims injurious to human health the by products polluting the land and the air.,188
grok_4594a198cc789b01,grok,sal,fast,en,h_emilia_1fecac493522,conversational,1.3,,"So I think I can see how this movie is gonna go. If you like these kind of videos, make sure to like, subscribe and comment down below what other kind of content you wanna see on this channel. Now let's get into this shit show.",227
grok_4db4c618643df7fe,grok,leo,whisper,en,cur_whi_015,whisper,,,<whisper>Keep your voice down. The walls in this hotel are paper thin.</whisper>,80
grok_dcb086189059b201,grok,eve,neutral,en,h_emilia_8235e17a8b6c,conversational,,,"They were quick to adopt quilted cotton armor based upon that used by their native opponents, and commonly combined this with the use of a simple metal war hat.",160
grok_93604a846748fe11,grok,ara,neutral,en,h_common_voice_90ef7a3c3384,read,,,"The specific epithet crenata also comes from Latin and means ""notched"".",71
grok_42f524912ebd7246,grok,rex,neutral,en,h_emilia_06567ab98263,conversational,,,"And the team in Katmandu said, hey, we have a problem. We don't have access to mine shirts.",91
grok_38f16b9b48c03aaa,grok,sal,neutral,en,h_peoples_speech_9af7f58a31e5,procedural,,,now at that point in time when i got that letter i will be honest with you that was the first time i actually seriously considered throwing in the towel,152
grok_0cdf35591ae69d6c,grok,leo,neutral,en,h_emilia_5615eb6c0004,conversational,,,"Six, that teach them about financial management. Good parents don't only send their words to school.",100
grok_72cb5955096a1ddd,grok,eve,neutral,en,h_common_voice_9abfc3258409,read,,,"The route begins on the Valley Way, which brings hikers to the Madison Hut.",75
grok_56230553cca898c4,grok,ara,singing,en,cur_sng_001,singing,,,"<singing>Row, row, row your boat, gently down the stream, merrily merrily merrily merrily, life is but a dream.</singing>",121
grok_3f302b11d76cd3a8,grok,rex,soft,en,cur_whi_002,whisper,,,"<soft>The surprise party is at seven. Whatever you do, don't tell Maria.</soft>",79
grok_3751bc1b3421a7c5,grok,sal,neutral,en,h_common_voice_bcb0afe6987e,read,,,He wife Hannah was known for holding church socials at the Casady home.,71
grok_16bb3850324d4350,grok,leo,neutral,en,cur_que_003,question,,,Why would anyone schedule a dentist appointment at seven in the morning?,72
grok_1e5dc7e94baaae0d,grok,eve,whisper,en,h_common_voice_48e9bd2f6e78,read,,,<whisper>I would if I thought I'd hear anything worth listening to.</whisper>,77
